DATE,2 Year Loan,Months,Inflow,BPV
2/1/2003,11.7,207,-5,$0.43 
3/1/2003,.,,-5,
4/1/2003,.,,-5,
5/1/2003,12.19,204,-5,$0.41 
6/1/2003,.,,-5,
7/1/2003,.,202,-5,
8/1/2003,11.97,201,-5,$0.42 
9/1/2003,.,200,,
10/1/2003,.,199,,
11/1/2003,11.97,198,-5,$0.42 
12/1/2003,.,197,,
1/1/2004,.,196,,
2/1/2004,11.88,195,-5,$0.42 
3/1/2004,.,194,,
4/1/2004,.,193,,
5/1/2004,11.8,192,-5,$0.42 
6/1/2004,.,191,,
7/1/2004,.,190,,
8/1/2004,12.02,189,-5,$0.42 
9/1/2004,.,188,,
10/1/2004,.,187,,
11/1/2004,11.84,186,-5,$0.00 
12/1/2004,.,185,-5,
1/1/2005,.,184,-5,
2/1/2005,12.01,183,-5,$0.00 
3/1/2005,.,182,-5,
4/1/2005,.,181,-5,
5/1/2005,12.05,180,-5,$0.00 
6/1/2005,.,179,-5,
7/1/2005,.,178,-5,
8/1/2005,12.22,177,-5,$0.41 
9/1/2005,.,176,-5,
10/1/2005,.,175,-5,
11/1/2005,11.95,174,-5,$0.42 
12/1/2005,.,173,-5,
1/1/2006,.,172,-5,
2/1/2006,12.18,171,-5,$0.41 
3/1/2006,.,170,-5,
4/1/2006,.,169,-5,
5/1/2006,12.58,168,-5,$0.40 
6/1/2006,.,167,-5,
7/1/2006,.,166,-5,
8/1/2006,12.4,165,-5,$0.40 
9/1/2006,.,164,-5,
10/1/2006,.,163,-5,
11/1/2006,12.49,162,-5,$0.40 
12/1/2006,.,161,-5,
1/1/2007,.,160,-5,
2/1/2007,12.32,159,-5,$0.41 
3/1/2007,.,158,-5,
4/1/2007,.,157,-5,
5/1/2007,12.53,156,-5,$0.40 
6/1/2007,.,155,-5,
7/1/2007,.,154,-5,
8/1/2007,12.51,153,-5,$0.40 
9/1/2007,.,152,-5,
10/1/2007,.,151,-5,
11/1/2007,12.16,150,-5,$0.41 
12/1/2007,.,149,-5,
1/1/2008,.,148,-5,
2/1/2008,11.43,147,-5,$0.44 
3/1/2008,.,146,-5,
4/1/2008,.,145,-5,
5/1/2008,11.14,144,-5,$0.45 
6/1/2008,.,143,-5,
7/1/2008,.,142,-5,
8/1/2008,11.48,141,-5,$0.44 
9/1/2008,.,140,-5,
10/1/2008,.,139,-5,
11/1/2008,11.44,138,-5,$0.44 
12/1/2008,.,137,-5,
1/1/2009,.,136,-5,
2/1/2009,11.05,135,-5,$0.45 
3/1/2009,.,134,-5,
4/1/2009,.,133,-5,
5/1/2009,11.25,132,-5,$0.44 
6/1/2009,.,131,-5,
7/1/2009,.,130,-5,
8/1/2009,10.89,129,-5,$0.46 
9/1/2009,.,128,-5,
10/1/2009,.,127,-5,
11/1/2009,11.2,126,-5,$0.45 
12/1/2009,.,125,-5,
1/1/2010,.,124,-5,
2/1/2010,10.83,123,-5,$0.46 
3/1/2010,.,122,-5,#VALUE!
4/1/2010,.,121,-5,#VALUE!
5/1/2010,11,120,-5,$0.45 
6/1/2010,.,119,-5,
7/1/2010,.,118,-5,
8/1/2010,10.71,117,-5,$0.47 
9/1/2010,.,116,-5,
10/1/2010,.,115,-5,
11/1/2010,10.94,114,-5,$0.46 
12/1/2010,.,113,-5,
1/1/2011,.,112,-5,
2/1/2011,10.98,111,-5,$0.46 
3/1/2011,.,110,-5,
4/1/2011,.,109,-5,
5/1/2011,11.37,108,-5,$0.44 
6/1/2011,.,107,-5,
7/1/2011,.,106,-5,
8/1/2011,10.8,105,-5,$0.46 
9/1/2011,.,104,-5,
10/1/2011,.,103,-5,
11/1/2011,10.36,102,-5,$0.48 
12/1/2011,.,101,-5,
1/1/2012,.,100,-5,
2/1/2012,10.89,99,-5,$0.46 
3/1/2012,.,98,-5,
4/1/2012,.,97,-5,
5/1/2012,10.94,96,-5,$0.46 
6/1/2012,.,95,-5,
7/1/2012,.,94,-5,
8/1/2012,10.37,93,-5,$0.48 
9/1/2012,.,92,-5,
10/1/2012,.,91,-5,
11/1/2012,10.64,90,-5,$0.47 
12/1/2012,.,89,-5,
1/1/2013,.,88,-5,
2/1/2013,10.12,87,-5,$0.49 
3/1/2013,.,86,-5,
4/1/2013,.,85,-5,
5/1/2013,10.34,84,-5,$0.48 
6/1/2013,.,83,-5,
7/1/2013,.,82,-5,
8/1/2013,10.13,81,-5,$0.49 
9/1/2013,.,80,-5,
10/1/2013,.,79,-5,
11/1/2013,10.22,78,-5,$0.49 
12/1/2013,.,77,-5,
1/1/2014,.,76,-5,
2/1/2014,10.09,75,-5,$0.50 
3/1/2014,.,74,-5,
4/1/2014,.,73,-5,
5/1/2014,9.62,72,-5,$0.52 
6/1/2014,.,71,-5,
7/1/2014,.,70,-5,
8/1/2014,10.73,69,-5,$0.47 
9/1/2014,.,68,-5,
10/1/2014,.,67,-5,
11/1/2014,10.47,66,-5,$0.48 
12/1/2014,.,65,-5,
1/1/2015,.,64,-5,
2/1/2015,9.85,63,-5,$0.51 
3/1/2015,.,62,-5,
4/1/2015,.,61,-5,
5/1/2015,9.69,60,-5,$0.52 
6/1/2015,.,59,-5,
7/1/2015,.,58,-5,
8/1/2015,9.8,57,-5,$0.51 
9/1/2015,.,56,-5,
10/1/2015,.,55,-5,
11/1/2015,9.66,54,-5,$0.52 
12/1/2015,.,53,-5,
1/1/2016,.,52,-5,
2/1/2016,10.03,51,-5,$0.50 
3/1/2016,.,50,-5,
4/1/2016,.,49,-5,
5/1/2016,9.65,48,-5,$0.52 
6/1/2016,.,47,-5,
7/1/2016,.,46,-5,
8/1/2016,9.64,45,-5,$0.52 
9/1/2016,.,44,-5,
10/1/2016,.,43,-5,
11/1/2016,9.45,42,-5,$0.53 
12/1/2016,.,41,-5,
1/1/2017,.,40,-5,
2/1/2017,10.05,39,-5,$0.50 
3/1/2017,.,38,-5,
4/1/2017,.,37,-5,
5/1/2017,10.13,36,-5,$0.49 
6/1/2017,.,35,-5,
7/1/2017,.,34,-5,
8/1/2017,9.76,33,-5,$0.51 
9/1/2017,.,32,-5,
10/1/2017,.,31,-5,
11/1/2017,10.57,30,-5,$0.47 
12/1/2017,.,29,-5,
1/1/2018,.,28,-5,
2/1/2018,10.22,27,-5,$0.49 
3/1/2018,.,26,-5,
4/1/2018,.,25,-5,
5/1/2018,10.31,24,-5,$0.48 
6/1/2018,.,23,-5,
7/1/2018,.,22,-5,
8/1/2018,10.08,21,-5,$0.50 
9/1/2018,.,20,-5,
10/1/2018,.,19,-5,
11/1/2018,10.65,18,-5,$0.47 
12/1/2018,.,17,-5,
1/1/2019,.,16,-5,
2/1/2019,10.36,15,-5,$0.48 
3/1/2019,.,14,-5,
4/1/2019,.,13,-5,
5/1/2019,10.63,12,-5,$0.47 
6/1/2019,.,11,-5,
7/1/2019,.,10,-5,
8/1/2019,10.07,9,-5,$0.50 
9/1/2019,.,8,-5,
10/1/2019,.,7,-5,
11/1/2019,10.21,6,-5,$0.49 
12/1/2019,.,5,-5,
1/1/2020,.,4,-5,
2/1/2020,9.63,3,-5,$0.52 
